#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc004fpo.3	chrY	+	1660485	1671411	1660485	1660485	6	1660485,1662336,1664276,1668084,1669030,1669551,	1660662,1663117,1664425,1668325,1669100,1671411,		uc004fpo.3
uc004fpn.3	chrY	+	1660485	1671411	1662355	1670487	5	1660485,1662336,1664276,1668084,1669551,	1660662,1663117,1664425,1668325,1671411,	Q02040	uc004fpn.3
uc004fpq.3	chrY	+	1664276	1711974	1684092	1711907	10	1664276,1684025,1692031,1693161,1696595,1698713,1701596,1702042,1705330,1711695,	1664425,1684161,1692206,1693291,1696664,1698832,1701680,1702183,1705453,1711974,	I7HJJ3	uc004fpq.3
uc010nvy.3	chrY	+	1683940	1711974	1684092	1711907	9	1683940,1692031,1693161,1696595,1698713,1701596,1702042,1705330,1711695,	1684161,1692206,1693291,1696664,1698832,1701680,1702183,1705453,1711974,	I7HJJ3	uc010nvy.3
uc004fpr.3	chrY	+	1684025	1711974	1684092	1711907	7	1684025,1692031,1693161,1696595,1698713,1705330,1711695,	1684161,1692206,1693291,1696664,1698832,1705453,1711974,	P46597-2	uc004fpr.3
uc004fps.4	chrY	-	2087554	2369015	2089081	2368966	7	2087554,2111063,2134780,2159542,2276785,2293237,2368857,	2089270,2111271,2134988,2159644,2276854,2293345,2369015,	Q8N5I4	uc004fps.4
uc004fpu.2	chrY	-	2354454	2368580	2356675	2358760	2	2354454,2368351,	2358813,2368580,	O96006	uc004fpu.2
uc004fpt.2	chrY	-	2354454	2369015	2356675	2358760	2	2354454,2368857,	2358810,2369015,	O96006	uc004fpt.2
uc022ciu.1	chrY	-	2354454	2369015	2356675	2358760	2	2354454,2368857,	2358813,2369015,	O96006	uc022ciu.1
uc022civ.1	chrY	-	2356675	2358760	2356675	2358760	1	2356675,	2358760,	O96006	uc022civ.1
uc004fpv.2	chrY	+	2477305	2506370	2477305	2477305	10	2477305,2479036,2480190,2483856,2486780,2487469,2490730,2491425,2494637,2506014,	2477522,2479079,2480259,2484010,2486825,2487538,2490775,2491494,2494683,2506370,		uc004fpv.2
uc004fpw.2	chrY	+	2477305	2525270	2477305	2477305	9	2477305,2479036,2480190,2483856,2486780,2487469,2491425,2494637,2523067,	2477522,2479079,2480259,2484010,2486825,2487538,2491494,2494683,2525270,		uc004fpw.2
uc004fqa.4	chrY	+	2559227	2609350	2559401	2601405	11	2559227,2582462,2585645,2587701,2588396,2590667,2591354,2594300,2601397,2606243,2608819,	2559468,2582495,2585693,2587746,2588465,2590715,2591405,2594414,2601415,2606297,2609350,	P14209-2	uc004fqa.4
uc004fpz.3	chrY	+	2559227	2609350	2559401	2608845	10	2559227,2582462,2585645,2587701,2588396,2590667,2591354,2594300,2606240,2608819,	2559468,2582495,2585693,2587746,2588465,2590715,2591405,2594414,2606297,2609350,	P14209	uc004fpz.3
uc010nwa.3	chrY	+	2559227	2609350	2559401	2608845	9	2559227,2582462,2587701,2588396,2590667,2591354,2594300,2606240,2608819,	2559468,2582495,2587746,2588465,2590715,2591405,2594414,2606297,2609350,	A6NIW1	uc010nwa.3
uc010nwb.1	chrY	+	2620336	2643037	2620336	2620336	3	2620336,2638590,2642756,	2620376,2638632,2643037,		uc010nwb.1
uc010nwc.2	chrY	+	2620336	2655611	2620336	2620336	4	2620336,2638590,2642756,2655035,	2620376,2638632,2642780,2655611,		uc010nwc.2
uc004fqc.1	chrY	+	2620336	2655675	2620336	2620336	5	2620336,2638590,2642756,2655035,2655520,	2620376,2638632,2642780,2655094,2655675,		uc004fqc.1
uc004fqe.1	chrY	+	2620336	2713784	2620336	2620336	8	2620336,2638590,2642756,2709068,2709526,2710205,2712117,2713686,	2620376,2638632,2642780,2709124,2709668,2710283,2712298,2713784,		uc004fqe.1
uc004fqf.1	chrY	+	2620336	2722812	2620336	2620336	5	2620336,2638590,2642756,2713686,2722640,	2620376,2638632,2642780,2713784,2722812,		uc004fqf.1
uc004fqg.1	chrY	-	2654895	2655792	2655029	2655644	1	2654895,	2655792,	Q05066	uc004fqg.1
uc004fqi.3	chrY	+	2709526	2734997	2709665	2734935	7	2709526,2710205,2712117,2713686,2722640,2733128,2734833,	2709668,2710283,2712298,2713784,2722812,2733286,2734997,	P22090	uc004fqi.3
uc010nwd.1	chrY	+	2803111	2845221	2821977	2844892	6	2803111,2821949,2829114,2843135,2843551,2844710,	2803487,2822038,2829687,2843285,2843695,2845221,	NP_003402	uc010nwd.1
uc011nan.2	chrY	+	2803111	2850547	2821977	2848034	7	2803111,2821949,2843135,2843551,2844710,2845980,2846850,	2803487,2822038,2843285,2843695,2844863,2846121,2850547,	P08048-2	uc011nan.2
uc004fqj.3	chrY	+	2803517	2850547	2821977	2848034	8	2803517,2821949,2829114,2843135,2843551,2844710,2845980,2846850,	2803810,2822038,2829687,2843285,2843695,2844863,2846121,2850547,	P08048	uc004fqj.3
uc010nwe.3	chrY	+	2803517	2850547	2829131	2848034	6	2803517,2829114,2843135,2843551,2845980,2846850,	2803810,2829687,2843285,2843695,2846121,2850547,	P08048-3	uc010nwe.3
uc031tkv.1	chrY	+	2871036	2970313	2871036	2871036	4	2871036,2947324,2965035,2970125,	2871258,2947382,2965097,2970313,		uc031tkv.1
uc004fqk.3	chrY	+	3447125	3448082	3447285	3447843	2	3447125,3447264,	3447168,3448082,	Q8IUE0	uc004fqk.3
uc022ciw.1	chrY	+	3447285	3447843	3447285	3447843	1	3447285,	3447843,	Q8IUE0	uc022ciw.1
uc010nwg.1	chrY	+	4868266	4968748	4900737	4968748	5	4868266,4870728,4900710,4924929,4966255,	4868646,4870799,4900769,4925500,4968748,	Q9BZA8-3	uc010nwg.1
uc004fql.1	chrY	+	4868266	4973485	4900737	4972402	6	4868266,4899946,4900710,4924929,4966255,4972384,	4868646,4900052,4900769,4925500,4968748,4973485,	Q9BZA8-3	uc004fql.1
uc004fqm.1	chrY	+	4868266	4973485	4900737	4972402	7	4868266,4898939,4899946,4900710,4924929,4966255,4972384,	4868646,4899108,4900052,4900769,4925500,4968748,4973485,	Q9BZA8-3	uc004fqm.1
uc004fqn.1	chrY	+	4924130	4973485	4924864	4972402	3	4924130,4966255,4972384,	4925500,4968748,4973485,	Q9BZA8-2	uc004fqn.1
uc004fqo.3	chrY	+	4924130	5610264	4924864	5605983	5	4924130,4966255,5369097,5449815,5605312,	4925500,4968748,5369296,5449839,5610264,	Q9BZA8	uc004fqo.3
uc004fqp.1	chrY	+	4966255	4969478	4966306	4968781	1	4966255,	4969478,	Q9BZA8-4	uc004fqp.1
uc022cix.1	chrY	-	5205861	5205883	5205861	5205861	1	5205861,	5205883,		uc022cix.1
uc011nao.2	chrY	+	5378252	5378339	5378252	5378252	1	5378252,	5378339,		uc011nao.2
uc004fqq.1	chrY	-	6110486	6111651	6110486	6110486	3	6110486,6111335,6111594,	6110795,6111481,6111651,		uc004fqq.1
uc004fqr.1	chrY	+	6114263	6117053	6114309	6116866	6	6114263,6115396,6115602,6115815,6116067,6116843,	6114795,6115474,6115714,6115961,6116149,6117053,	A6NKD2	uc004fqr.1
uc004fqs.1	chrY	+	6114263	6117053	6114309	6116119	6	6114263,6115396,6115602,6115815,6116056,6116843,	6114795,6115474,6115714,6115961,6116149,6117053,	A6NGT6	uc004fqs.1
uc004fqt.2	chrY	+	6258441	6279605	6258441	6258441	5	6258441,6262140,6269163,6271628,6279347,	6258716,6262300,6269272,6271766,6279605,		uc004fqt.2
uc010nwi.3	chrY	-	6274284	6296485	6274284	6274284	8	6274284,6276187,6276505,6279414,6280263,6287805,6290368,6296280,	6274964,6276385,6276584,6279571,6280412,6287892,6290446,6296485,		uc010nwi.3
uc004fqv.3	chrY	+	6311474	6315118	6311474	6311474	2	6311474,6315013,	6311676,6315118,		uc004fqv.3
uc004fqw.3	chrY	+	6317508	6325947	6317508	6317508	7	6317508,6318486,6320955,6321718,6324112,6325199,6325701,	6317545,6318648,6321030,6322195,6324226,6325455,6325947,		uc004fqw.3
uc004fqx.3	chrY	+	6317508	6325947	6317508	6317508	6	6317508,6318486,6320955,6321718,6324112,6325701,	6317545,6318648,6321030,6322195,6324226,6325947,		uc004fqx.3
uc010nwj.3	chrY	+	6321718	6325947	6321718	6321718	3	6321718,6324013,6325701,	6322195,6324226,6325947,		uc010nwj.3
uc004fqy.3	chrY	-	6339071	6341671	6339071	6339071	3	6339071,6340853,6341535,	6339261,6341058,6341671,		uc004fqy.3
uc004fqz.3	chrY	-	6733958	6742068	6734113	6740649	6	6733958,6736077,6736772,6738046,6740595,6742012,	6734119,6736503,6736817,6738094,6740661,6742068,	Q99218-1	uc004fqz.3
uc004fra.1	chrY	-	6736077	6740661	6736077	6740649	5	6736077,6736772,6736908,6738046,6740595,	6736503,6736817,6736950,6738094,6740661,	Q99218	uc004fra.1
uc004frb.3	chrY	+	6778726	6959724	6893125	6959533	19	6778726,6780128,6846253,6863844,6889489,6893075,6911020,6931937,6938236,6938760,6939600,6939773,6942600,6948772,6953938,6954330,6955307,6958129,6959512,	6779023,6780213,6846284,6863939,6889578,6893183,6911166,6932190,6938369,6938902,6939664,6939871,6942661,6948894,6954013,6954458,6955473,6958231,6959724,	Q9BQ87	uc004frb.3
uc004frc.3	chrY	+	6778726	6959724	6893125	6959533	18	6778726,6780128,6863844,6889489,6893075,6911020,6931937,6938236,6938760,6939600,6939773,6942600,6948772,6953938,6954330,6955307,6958129,6959512,	6779023,6780213,6863939,6889578,6893183,6911166,6932190,6938369,6938902,6939664,6939871,6942661,6948894,6954013,6954458,6955473,6958231,6959724,	Q9BQ87	uc004frc.3
uc004frd.3	chrY	+	6778726	6959724	6893125	6959533	18	6778726,6780128,6846253,6889489,6893075,6911020,6931937,6938236,6938760,6939600,6939773,6942600,6948772,6953938,6954330,6955307,6958129,6959512,	6779023,6780213,6846284,6889578,6893183,6911166,6932190,6938369,6938902,6939664,6939871,6942661,6948894,6954013,6954458,6955473,6958231,6959724,	Q9BQ87	uc004frd.3
uc011nap.2	chrY	+	6778726	6959724	6938253	6959533	19	6778726,6780128,6846253,6863844,6889489,6911020,6931937,6934735,6938236,6938760,6939600,6939773,6942600,6948772,6953938,6954330,6955307,6958129,6959512,	6779023,6780213,6846284,6863939,6889578,6911166,6932190,6934869,6938369,6938902,6939664,6939871,6942661,6948894,6954013,6954458,6955473,6958231,6959724,	Q9BQ87	uc011nap.2
uc004fre.3	chrY	+	7142012	7249588	7142012	7142012	8	7142012,7171977,7193946,7209155,7224175,7235396,7239783,7243752,	7142519,7172146,7194210,7209275,7224271,7235474,7239930,7249588,		uc004fre.3
uc004frf.1	chrY	-	7567397	7569288	7567397	7567397	2	7567397,7569227,	7567528,7569288,		uc004frf.1
uc004frg.3	chrY	-	7610635	7677302	7610635	7610635	5	7610635,7644561,7644874,7673535,7677194,	7611068,7644748,7645069,7673645,7677302,		uc004frg.3
uc004frh.3	chrY	+	7672964	7678723	7672964	7672964	2	7672964,7677901,	7673120,7678723,		uc004frh.3
uc022ciz.1	chrY	-	8240139	8240214	8240139	8240139	1	8240139,	8240214,		uc022ciz.1
uc004fri.1	chrY	-	8551410	8551919	8551410	8551410	2	8551410,8551761,	8551473,8551919,		uc004fri.1
uc004frj.1	chrY	+	8572512	8573324	8572512	8572512	2	8572512,8573143,	8572600,8573324,		uc004frj.1
uc004frk.2	chrY	-	8651358	8685423	8651358	8651358	5	8651358,8651928,8657040,8662901,8685386,	8651447,8652244,8657343,8662985,8685423,		uc004frk.2
uc004frl.1	chrY	-	9154669	9160483	9154669	9154669	4	9154669,9156600,9159793,9160369,	9154700,9156778,9159897,9160483,		uc004frl.1
uc004frm.3	chrY	-	9167488	9172441	9167488	9167488	2	9167488,9172359,	9167665,9172441,		uc004frm.3
uc004frn.2	chrY	+	9175072	9177699	9175118	9176952	7	9175072,9175355,9176229,9176435,9176648,9176889,9177676,	9175337,9175622,9176307,9176547,9176794,9176982,9177699,	F2Z2I4	uc004frn.2
uc004fro.2	chrY	+	9175072	9177699	9175118	9177699	7	9175072,9175355,9176229,9176435,9176648,9176900,9177676,	9175337,9175622,9176307,9176547,9176794,9176982,9177699,	P0CV98	uc004fro.2
uc022cja.1	chrY	+	9175118	9177699	9175118	9177699	6	9175118,9176229,9176435,9176648,9176900,9177676,	9175622,9176307,9176547,9176794,9176982,9177699,	P0CV99	uc022cja.1
uc022cjb.1	chrY	-	9187188	9192791	9187188	9187188	4	9187188,9190798,9192457,9192689,	9187248,9190957,9192603,9192791,		uc022cjb.1
uc004frr.2	chrY	+	9195451	9198202	9195451	9198014	6	9195451,9196544,9196750,9196963,9197215,9197991,	9195937,9196622,9196862,9197109,9197297,9198202,	H7BXJ3	uc004frr.2
uc004frq.2	chrY	+	9195451	9198202	9195451	9197267	6	9195451,9196544,9196750,9196963,9197204,9197991,	9195937,9196622,9196862,9197109,9197297,9198202,	A6NGL4	uc004frq.2
uc022cjc.1	chrY	+	9195451	9218480	9195451	9195451	7	9195451,9215949,9216822,9217028,9217241,9217493,9218269,	9195688,9216215,9216900,9217140,9217387,9217575,9218480,		uc022cjc.1
uc022cjd.1	chrY	-	9207465	9213071	9207465	9207465	4	9207465,9211074,9212737,9212969,	9207525,9211233,9212883,9213071,		uc022cjd.1
uc010nwo.2	chrY	+	9215730	9238826	9236075	9238638	7	9215730,9236029,9237168,9237374,9237587,9237839,9238615,	9215967,9236561,9237246,9237486,9237733,9237921,9238826,	P0CV99	uc010nwo.2
uc004frs.3	chrY	+	9215949	9218480	9215949	9215949	6	9215949,9216822,9217028,9217241,9217482,9218269,	9216215,9216900,9217140,9217387,9217575,9218480,		uc004frs.3
uc010nwm.2	chrY	+	9215949	9218486	9215949	9215949	4	9215949,9216822,9217028,9217702,	9216215,9216900,9217575,9218486,		uc010nwm.2
uc022cje.1	chrY	-	9225730	9233425	9225730	9225730	4	9225730,9231414,9233083,9233315,	9227859,9231573,9233229,9233425,		uc022cje.1
uc004fru.3	chrY	+	9236029	9238826	9236075	9237891	6	9236029,9237168,9237374,9237587,9237828,9238615,	9236561,9237246,9237486,9237733,9237921,9238826,	F2Z2I4	uc004fru.3
uc004fse.3	chrY	+	9236075	9368285	9365534	9368097	7	9236075,9365488,9366627,9366833,9367046,9367298,9368074,	9236312,9366020,9366705,9366945,9367192,9367380,9368285,	P0CV99	uc004fse.3
uc004frv.2	chrY	-	9296351	9301954	9296351	9296351	4	9296351,9299966,9301620,9301852,	9296411,9300125,9301766,9301954,		uc004frv.2
uc004frw.4	chrY	+	9304563	9307358	9304609	9307170	6	9304563,9305702,9305908,9306121,9306373,9307147,	9305095,9305780,9306020,9306267,9306455,9307358,	Q01534	uc004frw.4
uc004frx.4	chrY	+	9304563	9307358	9304609	9306425	6	9304563,9305702,9305908,9306121,9306362,9307147,	9305095,9305780,9306020,9306267,9306455,9307358,	Q01534-2	uc004frx.4
uc010nwp.1	chrY	+	9304563	9347389	9304609	9346733	3	9304563,9346314,9346520,	9305095,9346392,9347389,	Q01534	uc010nwp.1
uc031tkw.1	chrY	-	9316661	9322271	9316661	9316661	4	9316661,9320272,9321929,9322161,	9316721,9320431,9322075,9322271,		uc031tkw.1
uc004fsa.2	chrY	+	9324875	9327689	9324921	9326755	7	9324875,9325158,9326032,9326238,9326451,9326692,9327479,	9325140,9325425,9326110,9326350,9326597,9326785,9327689,	Q6B019	uc004fsa.2
uc004frz.2	chrY	+	9324875	9327689	9324921	9327502	7	9324875,9325158,9326032,9326238,9326451,9326703,9327479,	9325140,9325425,9326110,9326350,9326597,9326785,9327689,	Q6B019	uc004frz.2
uc004fsb.3	chrY	+	9345177	9347971	9345177	9345177	7	9345177,9345441,9346314,9346520,9346733,9346974,9347761,	9345423,9345707,9346392,9346632,9346879,9347067,9347971,		uc004fsb.3
uc004fsc.3	chrY	+	9345177	9347971	9345177	9345177	7	9345177,9345441,9346314,9346520,9346733,9346985,9347761,	9345423,9345707,9346392,9346632,9346879,9347067,9347971,		uc004fsc.3
uc031tkx.1	chrY	-	9357274	9362885	9357274	9357274	4	9357274,9360884,9362543,9362775,	9357334,9361043,9362689,9362885,		uc031tkx.1
uc004fsf.3	chrY	+	9365488	9368285	9365534	9367350	6	9365488,9366627,9366833,9367046,9367287,9368074,	9366020,9366705,9366945,9367192,9367380,9368285,	F2Z2I4	uc004fsf.3
uc004fsg.1	chrY	-	9448329	9452762	9448329	9448329	3	9448329,9452390,9452698,	9448480,9452492,9452762,		uc004fsg.1
uc010nwq.1	chrY	-	9448329	9452762	9448329	9448329	4	9448329,9450029,9452390,9452698,	9448480,9450143,9452492,9452762,		uc010nwq.1
uc004fsh.3	chrY	+	9528708	9531308	9528708	9528708	3	9528708,9529321,9531118,	9528844,9529526,9531308,		uc004fsh.3
uc010nwr.3	chrY	-	9544432	9548661	9544432	9544432	3	9544432,9546153,9548184,	9544678,9546366,9548661,		uc010nwr.3
uc004fsi.3	chrY	-	9544432	9552871	9544432	9544432	7	9544432,9544924,9546153,9548184,9549349,9551731,9552834,	9544678,9545180,9546267,9548661,9549424,9551893,9552871,		uc004fsi.3
uc004fsj.3	chrY	-	9544432	9552871	9544432	9544432	6	9544432,9546153,9548184,9549349,9551731,9552834,	9544678,9546267,9548661,9549424,9551893,9552871,		uc004fsj.3
uc004fsk.1	chrY	-	9555261	9558905	9555261	9555261	2	9555261,9558703,	9555366,9558905,		uc004fsk.1
uc010nws.3	chrY	+	9573894	9596085	9573894	9573894	8	9573894,9579932,9582486,9589957,9590798,9593785,9593984,9595405,	9574099,9580010,9582573,9590106,9590955,9593864,9594182,9596085,		uc010nws.3
uc004fsm.2	chrY	-	9590764	9611928	9590764	9590764	5	9590764,9598603,9601097,9608069,9611653,	9591022,9598741,9601206,9608229,9611928,		uc004fsm.2
uc004fsn.1	chrY	+	9638761	9650854	9638761	9638761	5	9638761,9642382,9646919,9647679,9650808,	9638916,9642494,9646994,9647718,9650854,		uc004fsn.1
uc004fso.1	chrY	+	9748406	9749571	9748406	9748406	3	9748406,9748576,9749262,	9748463,9748722,9749571,		uc004fso.1
uc022cjf.1	chrY	+	10033119	10033139	10033119	10033119	1	10033119,	10033139,		uc022cjf.1
uc022cjg.1	chrY	+	10037845	10037870	10037845	10037845	1	10037845,	10037870,		uc022cjg.1
uc004fsq.2	chrY	+	13332094	13332124	13332094	13332094	1	13332094,	13332124,		uc004fsq.2
uc004fsr.1	chrY	-	13334588	13334618	13334588	13334588	1	13334588,	13334618,		uc004fsr.1
uc022cjh.1	chrY	-	13629636	13629724	13629636	13629636	1	13629636,	13629724,		uc022cjh.1
uc022cji.1	chrY	-	14517914	14533389	14518274	14532121	5	14517914,14518594,14518991,14532114,14533348,	14518299,14518736,14519108,14532253,14533389,	A6NIC0	uc022cji.1
uc004fss.3	chrY	+	14774297	14804153	14774297	14774297	4	14774297,14776570,14798441,14799392,	14774637,14776617,14798535,14804153,		uc004fss.3
uc010nwt.1	chrY	+	14813159	14821476	14813159	14813159	2	14813159,14821320,	14813984,14821476,		uc010nwt.1
